time,"SEQSUINET, Rice University, Houston, SURANET, Georgia Tech, Atlanta","SEQSUINET, Rice University, Houston, NCSA, University of Illinois, Champaign","SEQSUINET, Rice University, Houston, San Diego Supercomputer Center","Jon Von Neumann Center, Princeton, NJ, SURANET, Georgia Tech, Atlanta","Jon Von Neumann Center, Princeton, NJ, Cornell Theory Center, Ithaca NY","Pittsburgh Supercomputer Center, Merit Univ of Michigan, Ann Arbor","Cornell Theory Center, Ithaca NY, Merit Univ of Michigan, Ann Arbor","NorthWestNet, Seattle, NCAR, Boulder","NorthWestNet, Seattle, BARRnet, Palo Alto","BARRnet, Palo Alto, Merit Univ of Michigan, Ann Arbor","BARRnet, Palo Alto, San Diego Supercomputer Center","Westnet, Salt Lake City, NCAR, Boulder","NCAR, Boulder, NCSA, University of Illinois, Champaign","MIDnet, Lincoln, NE, NCSA, University of Illinois, Champaign","NCSA, University of Illinois, Champaign, Merit Univ of Michigan, Ann Arbor"
54,0.4,0.4,0.4,0.4,0.6,0.0,0.6,0.5,0.5,0.1,0.6,0.0,0.5,0.0,0.7
55,0.4,0.5,0.5,0.4,0.6,0.0,0.6,0.5,0.5,0.2,0.5,0.0,0.5,0.0,0.6
56,0.4,0.6,0.6,0.4,0.6,0.0,0.6,0.5,0.5,0.3,0.4,0.0,0.5,0.0,0.5
57,0.5,0.6,0.7,0.5,0.6,0.0,0.6,0.5,0.5,0.3,0.4,0.0,0.5,0.0,0.5
58,0.5,0.6,0.7,0.5,0.6,0.0,0.6,0.4,0.4,0.4,0.4,0.0,0.4,0.0,0.4
59,0.6,0.6,0.6,0.6,0.5,0.0,0.5,0.4,0.4,0.5,0.5,0.0,0.4,0.0,0.4
60,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.4,0.4,0.6,0.6,0.0,0.4,0.0,0.4
61,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.3,0.3,0.7,0.6,0.0,0.3,0.0,0.3
62,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.3
63,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.3
64,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.3
65,0.6,0.7,0.7,0.6,0.7,0.0,0.7,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.3
66,0.6,0.7,0.7,0.6,0.7,0.0,0.7,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.3
67,0.6,0.6,0.6,0.6,0.7,0.0,0.7,0.4,0.4,0.9,0.7,0.0,0.4,0.0,0.2
68,0.6,0.6,0.6,0.6,0.7,0.0,0.7,0.4,0.4,0.9,0.7,0.0,0.4,0.0,0.2
69,0.5,0.6,0.7,0.5,0.8,0.0,0.8,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.2
70,0.5,0.6,0.7,0.5,0.8,0.0,0.8,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.2
